Age,Annual_Income,Transaction_Amounts,Customer_Satisfaction_Score,Number_of_Visits,Net_Promoter_Score,Loyalty_Program_Engagement,Lifetime_Spend,Items_Purchased_Per_Visit,Online_Shopper
53.31,88.96,11.65,22.67,4,-2.0288,0.3126,591.54,22,
59.76,133.88,3.91,61.19,5,0.3367,0.6255,416.27,11,0.0
45.21,106.39,14.53,25.31,4,0.4827,0.4657,458.37,30,0.0
48.14,118.09,4.7,1.14,2,0.0041,0.4171,341.95,40,1.0
38.94,103.02,2.45,7.0,0,-0.8028,0.0994,439.94,12,0.0
38.04,112.4,4.69,37.98,5,-1.403,0.3626,355.33,28,0.0
58.13,108.35,6.92,46.48,1,0.7287,0.5083,526.32,29,0.0
63.56,105.09,2.14,75.91,7,0.5521,0.2629,391.34,1,0.0
49.28,122.14,2.33,54.15,3,-1.8018,0.2601,515.57,3,0.0
60.04,103.13,4.97,77.88,2,1.8301,0.3586,557.64,49,1.0
53.62,145.7,3.04,14.98,5,-1.7425,0.161,524.92,11,0.0
43.55,119.21,3.74,35.03,4,0.3002,0.2538,431.06,10,0.0
53.61,77.21,20.11,51.75,3,0.8,0.3024,576.3,23,0.0
65.38,96.47,0.22,1.56,1,0.1878,0.3084,514.01,45,1.0
49.64,107.94,5.22,96.08,4,-0.3007,0.4529,492.92,26,1.0
65.65,100.89,12.81,92.27,4,-0.299,0.2551,385.36,38,0.0
23.8,113.74,1.35,66.41,1,-0.5706,0.0848,439.5,17,0.0
58.22,115.94,1.19,21.34,2,1.2362,0.1381,397.99,25,1.0
50.87,72.81,2.25,13.79,1,-0.4613,0.132,543.91,49,0.0
47.01,125.62,0.38,88.82,6,-0.2842,0.1453,521.39,20,
50.92,90.06,4.11,28.78,5,-0.6289,0.1774,525.6,44,0.0
30.12,88.08,5.18,37.66,3,1.153,0.2883,322.1,18,1.0
47.8,88.02,8.57,39.57,3,-0.6982,0.0981,493.58,6,1.0
53.57,116.17,0.34,21.32,5,-1.2183,0.4142,662.67,4,0.0
64.78,94.66,2.87,72.46,5,-1.2644,0.3987,549.64,7,1.0
44.82,86.73,7.67,57.5,4,-0.517,0.1095,578.02,24,0.0
41.92,91.52,7.31,88.87,1,1.3262,0.1243,295.68,20,1.0
44.98,64.11,0.38,21.94,2,0.0713,0.6258,533.76,48,0.0
59.15,83.16,0.06,33.95,6,-0.3533,0.0954,477.22,6,1.0
53.29,75.21,7.65,49.47,5,-0.2096,0.0603,385.0,35,1.0
44.7,94.62,0.74,47.23,5,0.8316,0.1244,563.37,10,1.0
55.13,113.28,4.31,98.16,1,-0.3373,0.1493,493.71,33,1.0
50.97,111.08,0.49,59.62,6,-0.1617,0.3089,624.11,6,0.0
59.69,125.14,1.75,41.03,4,-0.8793,0.2206,416.18,12,0.0
42.98,120.68,0.86,28.52,7,0.2182,0.2858,381.69,26,1.0
46.72,89.43,6.67,57.74,3,-1.0223,0.5298,523.02,46,
46.08,100.38,5.58,54.66,0,0.8126,0.028,378.49,32,0.0
35.36,99.35,0.73,50.81,1,-1.2278,0.375,488.14,22,1.0
52.96,56.98,0.31,94.38,3,0.4152,0.0607,461.36,8,1.0
52.61,75.65,3.14,50.42,3,0.3962,0.1341,473.7,1,0.0
50.05,96.65,1.09,22.8,3,-0.0264,0.1103,412.74,17,0.0
47.65,96.54,0.04,15.6,3,-1.7052,0.0832,684.13,37,
35.85,110.25,1.53,90.97,2,-0.5059,0.1309,519.09,33,0.0
45.79,109.27,1.21,99.78,1,-1.219,0.215,653.54,19,0.0
46.57,64.59,5.78,59.23,2,0.4798,0.0942,583.09,12,1.0
41.98,110.37,9.86,72.71,4,0.0265,0.08,525.27,14,1.0
48.39,103.57,1.36,42.05,1,-0.1139,0.0797,341.98,6,1.0
54.04,112.47,1.26,86.18,4,-0.3651,0.1977,608.27,44,1.0
68.86,121.34,2.45,34.67,4,-1.5677,0.6089,315.07,27,1.0
51.75,97.14,0.95,1.92,4,1.1679,0.1929,542.42,37,
52.58,124.91,14.67,3.81,1,0.1583,0.2971,421.85,35,0.0
49.26,82.21,1.4,82.56,3,-1.3799,0.2309,396.12,30,1.0
30.81,81.09,0.49,42.08,3,1.2277,0.2209,450.97,25,0.0
49.73,108.58,4.07,96.77,2,1.4411,0.4002,419.89,47,0.0
50.6,92.62,3.86,41.76,2,1.2438,0.3398,575.21,15,1.0
74.63,105.23,5.0,94.6,1,-0.4654,0.549,532.45,47,0.0
48.08,139.86,17.01,47.05,1,0.4109,0.3817,530.74,49,1.0
53.02,107.87,1.95,72.17,4,3.0102,0.1311,280.38,46,0.0
49.65,104.24,2.23,29.32,5,0.9232,0.2473,443.71,44,0.0
38.31,82.62,2.06,54.89,1,-0.18,0.3663,458.81,40,
61.43,66.0,4.95,32.56,4,0.8921,0.2282,507.56,0,0.0
57.52,98.55,4.63,67.69,3,1.5792,0.0724,415.89,49,1.0
57.91,121.34,3.76,22.78,3,0.2044,0.069,548.22,48,1.0
40.91,93.54,2.27,35.79,3,0.3369,0.3428,478.18,27,1.0
64.03,108.03,2.79,63.39,3,0.4732,0.3031,546.21,20,0.0
35.98,128.53,7.86,30.37,0,0.0998,0.452,553.72,18,0.0
55.87,128.03,4.7,27.92,5,0.6932,0.4552,512.09,0,0.0
71.9,108.58,6.3,38.04,5,-0.7757,0.2227,408.29,31,1.0
40.09,103.4,1.62,62.17,2,-0.2242,0.3024,500.14,4,0.0
44.34,69.63,12.12,33.32,1,0.1523,0.5406,529.71,48,1.0
51.0,87.4,0.18,43.45,3,-2.5466,0.2002,524.95,25,0.0
44.97,94.38,4.53,2.1,5,0.3918,0.0876,374.83,23,0.0
34.49,82.95,8.37,70.0,2,0.2834,0.5251,455.29,29,1.0
50.69,104.97,10.06,81.18,4,0.7718,0.3803,507.39,43,1.0
39.38,138.23,1.93,82.71,3,-0.3703,0.464,560.88,27,0.0
54.74,130.36,3.08,54.96,3,0.1039,0.2387,556.96,9,0.0
40.81,104.88,0.18,42.49,3,-1.9772,0.6324,643.41,24,1.0
65.5,115.59,7.8,18.6,1,-0.4172,0.1874,643.65,3,1.0
42.17,85.43,0.67,65.59,2,0.3787,0.1516,514.43,24,0.0
46.78,129.28,2.79,57.67,0,0.0015,0.2738,624.35,25,1.0
58.14,68.76,23.45,42.98,4,-0.9514,0.0554,641.38,22,1.0
37.69,118.26,12.49,61.47,3,0.4731,0.4822,597.67,38,1.0
52.27,109.91,2.0,95.43,3,-0.7995,0.4486,571.23,27,1.0
63.07,84.88,1.27,13.58,1,-1.3037,0.2558,452.31,2,0.0
33.93,95.82,1.45,96.47,2,0.9709,0.2522,554.74,1,0.0
51.85,77.31,5.77,57.02,5,-0.1262,0.6309,470.77,6,0.0
52.6,78.17,6.47,83.2,5,0.3608,0.4332,474.25,9,1.0
57.82,68.18,1.22,99.37,1,-0.1163,0.0546,479.24,33,0.0
37.63,115.35,1.37,92.85,3,0.729,0.3636,457.42,3,0.0
36.8,124.11,1.95,39.92,3,-0.8764,0.239,435.57,32,0.0
55.22,56.76,2.84,45.78,3,0.0188,0.431,344.72,42,0.0
52.97,136.77,12.47,60.59,7,-0.7164,0.3395,591.57,32,1.0
52.5,99.76,0.13,63.8,2,-1.2336,0.1205,524.13,26,1.0
53.46,105.8,5.08,22.82,3,0.8097,0.2898,456.32,12,
43.2,70.55,9.89,94.78,2,-1.6498,0.0604,483.01,49,0.0
52.32,126.42,6.43,82.79,4,-1.3949,0.2774,668.91,40,1.0
52.93,104.01,1.22,13.03,2,0.4002,0.0377,579.15,5,0.0
42.86,122.78,3.24,99.13,5,0.1248,0.1453,365.18,14,
68.66,124.42,12.06,99.6,5,0.4214,0.2745,552.0,32,1.0
54.74,126.7,0.61,35.43,3,-0.1049,0.2534,514.99,1,1.0
38.09,87.03,21.91,84.83,1,-0.2579,0.3965,327.9,1,0.0
56.57,95.84,0.78,26.07,3,1.5916,0.1555,475.18,32,0.0
40.25,87.77,0.77,16.02,2,-1.3255,0.1244,604.02,30,0.0
57.87,117.9,8.38,85.44,5,1.6803,0.2695,555.31,29,1.0
61.59,106.66,8.81,56.12,3,-0.5098,0.2141,570.69,31,0.0
41.79,121.38,0.19,6.15,3,-1.1887,0.3992,574.89,36,1.0
59.63,122.25,0.92,83.26,4,-2.4175,0.1378,321.55,22,0.0
54.13,65.45,14.83,38.35,5,-0.9193,0.0681,605.78,33,0.0
58.22,127.02,1.64,16.89,5,-0.5412,0.0351,582.84,23,1.0
68.97,119.02,0.06,52.72,2,1.0395,0.1755,360.36,20,0.0
47.55,92.62,1.47,47.02,2,2.9805,0.2339,423.38,48,0.0
42.46,107.0,6.65,80.35,2,0.5893,0.2495,422.16,31,1.0
41.1,97.53,12.41,47.88,3,0.1394,0.3466,597.69,16,0.0
41.84,112.32,0.84,66.42,3,-1.6652,0.2065,587.59,6,0.0
49.23,92.57,1.27,35.39,2,0.4392,0.1274,601.81,28,1.0
53.41,109.58,2.91,10.96,5,-0.4813,0.5271,559.13,15,
52.77,101.35,6.9,4.34,1,1.6456,0.1702,713.44,1,1.0
58.27,91.36,5.37,32.06,3,-0.9638,0.0761,514.4,25,1.0
50.13,103.8,1.98,66.86,3,0.7645,0.0888,240.95,12,0.0
64.54,154.13,0.34,1.07,2,1.4376,0.2133,454.98,26,0.0
47.35,86.29,1.46,24.9,2,1.2886,0.2089,517.11,34,1.0
77.2,95.0,1.24,15.15,3,0.7769,0.1995,479.68,41,0.0
56.26,86.64,0.11,46.24,3,0.3912,0.3244,597.94,17,1.0
41.43,88.74,18.45,74.63,3,-0.8529,0.0676,615.8,42,1.0
39.29,116.32,1.47,55.27,3,0.6438,0.1296,331.41,38,1.0
54.82,114.32,9.06,60.83,1,-0.0381,0.5094,390.72,33,1.0
47.77,99.88,3.32,94.62,0,-1.8694,0.0899,459.62,33,1.0
57.14,120.53,17.93,45.73,2,-0.2487,0.1102,430.77,36,0.0
54.73,115.87,0.81,81.41,7,0.1954,0.3325,495.99,21,0.0
49.27,96.75,0.59,34.39,3,-0.5113,0.17,311.2,3,0.0
41.53,69.32,0.01,62.04,4,-0.0829,0.413,508.86,26,0.0
34.85,116.6,6.34,76.83,4,-0.3584,0.2207,562.41,28,1.0
45.53,103.39,1.83,82.71,4,-0.1058,0.1948,743.72,0,0.0
58.56,100.44,10.21,22.2,2,-1.2726,0.1758,527.3,43,0.0
52.14,90.68,5.02,25.5,3,0.5016,0.1835,485.61,20,1.0
37.54,114.89,4.31,37.7,8,-0.0622,0.0679,522.43,48,1.0
51.73,106.97,3.34,25.02,2,-0.1102,0.3509,506.01,28,0.0
53.85,95.26,1.49,54.0,0,1.26,0.1284,362.9,31,0.0
41.16,75.49,0.33,80.7,4,-0.661,0.4637,566.95,23,0.0
51.54,121.36,2.93,15.35,1,0.5648,0.4702,550.86,30,0.0
50.58,112.1,0.52,40.73,0,0.2045,0.1005,547.91,21,0.0
38.57,105.11,11.81,72.67,2,1.3357,0.2747,470.31,18,0.0
53.58,46.86,8.84,70.36,1,1.7516,0.301,456.59,2,1.0
55.61,99.24,4.83,23.88,3,-1.7676,0.6478,507.69,24,0.0
60.83,95.18,3.01,66.04,2,-0.1693,0.3112,664.3,27,1.0
60.54,87.63,3.03,96.66,2,1.0727,0.6527,494.85,13,0.0
36.22,115.08,3.12,62.63,1,0.1819,0.4928,421.99,15,1.0
40.62,114.3,6.84,32.71,6,-0.6681,0.4946,404.41,34,
55.15,108.74,0.67,51.5,3,-0.0301,0.2332,407.6,35,1.0
55.14,120.76,3.79,33.8,6,-0.341,0.3857,545.58,23,1.0
55.15,79.55,8.37,53.18,1,-0.9265,0.3461,599.4,1,0.0
88.53,90.93,3.57,84.08,2,-1.0841,0.2376,601.42,6,1.0
55.71,101.5,0.07,13.39,1,0.6549,0.2672,603.85,48,0.0
61.36,87.56,1.4,41.3,2,1.3333,0.5234,507.96,26,0.0
59.54,114.54,5.52,63.4,3,-0.1933,0.2415,473.19,25,0.0
56.51,89.56,13.61,46.51,4,-2.2117,0.3042,497.3,16,1.0
46.85,125.97,11.21,78.16,4,1.2512,0.0831,474.44,47,1.0
57.59,81.38,8.65,16.14,5,1.0668,0.2813,471.89,9,1.0
42.27,142.64,15.0,87.46,1,-0.2308,0.0741,487.51,10,1.0
47.63,140.59,1.64,97.83,4,0.6619,0.2754,518.17,23,1.0
45.15,98.1,0.06,35.99,5,-1.2211,0.4767,559.52,42,0.0
50.82,122.92,2.19,11.39,1,-1.6703,0.146,656.94,33,0.0
73.15,91.99,4.3,98.77,4,1.2415,0.1527,505.7,49,1.0
31.33,120.27,1.9,35.09,3,-0.2071,0.1621,335.4,14,1.0
56.86,96.48,0.23,49.22,1,-0.2751,0.2453,608.24,29,0.0
33.87,74.29,3.54,24.27,1,0.3673,0.1304,371.24,14,0.0
45.28,29.34,1.11,5.55,2,-1.124,0.7508,669.93,47,
60.89,94.63,6.5,12.55,2,-0.3553,0.2454,489.18,45,0.0
50.64,105.58,0.47,23.78,3,0.5714,0.1523,631.49,25,1.0
39.22,126.61,15.87,98.79,7,-0.5295,0.0803,491.09,3,0.0
42.85,100.73,10.46,79.64,2,1.9427,0.2395,578.06,27,
56.8,120.06,10.35,42.06,1,1.1956,0.5841,544.58,5,1.0
42.7,90.92,7.8,31.93,3,0.4028,0.3122,451.01,16,0.0
52.16,93.25,5.02,14.37,3,0.0545,0.5097,424.25,12,
50.46,121.08,0.27,48.5,6,-0.9496,0.2039,568.84,35,0.0
43.48,50.71,5.43,90.71,1,-0.1251,0.4734,453.53,4,1.0
71.44,100.26,6.87,99.33,2,-0.1847,0.3996,379.48,9,0.0
56.34,92.0,0.7,90.19,3,0.7417,0.3242,483.12,1,1.0
29.75,127.21,4.78,6.57,1,1.585,0.0884,425.11,44,
51.86,89.44,3.26,15.81,3,0.488,0.4807,486.39,15,0.0
43.38,110.33,3.2,14.16,5,-0.6927,0.3786,513.46,24,0.0
58.52,118.43,1.11,16.16,3,-0.7983,0.2877,296.23,40,
42.07,70.15,6.72,12.44,3,1.2863,0.695,674.26,37,1.0
48.85,97.21,12.96,9.64,4,-0.4068,0.1395,603.36,49,0.0
55.05,91.37,7.75,35.04,5,-0.5752,0.0552,578.01,16,1.0
58.66,118.93,2.3,15.79,4,-1.4527,0.27,622.99,45,1.0
38.0,113.5,20.73,14.47,7,-0.7133,0.2151,420.84,48,0.0
46.65,95.34,2.26,52.45,5,1.0484,0.5472,668.92,29,1.0
45.25,79.05,1.34,20.32,4,0.4217,0.1974,287.78,27,1.0
43.47,120.76,17.22,0.61,3,-1.1058,0.0607,316.23,45,1.0
67.65,98.65,7.8,69.61,3,1.3323,0.1209,430.82,9,1.0
54.05,67.63,7.16,32.86,5,2.1549,0.2346,353.98,49,1.0
37.39,69.35,0.4,73.71,2,-0.9769,0.4219,452.35,26,1.0
59.18,108.75,1.07,89.31,2,-0.0941,0.0585,399.97,29,0.0
71.22,74.48,0.09,92.53,6,0.429,0.3115,508.23,29,1.0
60.32,137.19,7.5,17.77,3,1.3123,0.4542,395.71,42,0.0
34.81,81.26,1.63,67.26,4,-0.2492,0.2327,660.13,10,0.0
45.16,99.99,0.71,7.5,1,-1.4881,0.6629,580.92,24,1.0
62.67,103.18,1.0,46.32,4,-0.9812,0.1939,538.73,0,1.0
42.92,85.41,5.12,42.67,2,0.4511,0.6567,382.74,38,
54.44,55.2,2.84,20.32,4,-1.1706,0.1338,507.47,2,1.0
57.75,103.82,14.18,77.5,7,1.9866,0.069,709.89,13,1.0
40.73,84.94,2.28,91.33,4,-1.3061,0.2676,483.98,46,0.0
49.4,102.33,8.98,25.81,6,0.2213,0.1842,467.11,37,0.0
17.59,97.55,3.95,24.93,4,-0.0029,0.0672,502.93,6,1.0
39.76,105.27,6.11,19.56,1,-0.3563,0.2252,632.45,0,1.0
47.47,131.24,0.92,68.69,8,1.2607,0.1718,522.96,41,1.0
37.52,89.08,6.91,5.64,4,-0.7757,0.0629,629.45,10,0.0
66.32,90.62,0.45,6.38,4,-1.2646,0.7074,471.89,13,1.0
35.7,66.68,5.87,17.41,2,-0.4931,0.4115,383.46,9,
45.6,96.1,3.13,54.58,4,-0.1967,0.3473,436.28,28,1.0
51.31,108.2,1.3,25.27,3,1.0079,0.4062,482.13,6,1.0
64.41,90.33,3.27,98.73,3,-1.2179,0.4201,535.37,39,
35.64,108.33,9.68,39.52,2,0.0024,0.22,610.59,6,1.0
61.63,96.45,0.84,47.01,0,0.2347,0.2156,463.07,36,1.0
50.1,73.95,0.93,6.54,2,-0.1133,0.142,380.91,25,1.0
40.18,106.24,3.82,70.55,4,0.4423,0.0802,354.48,10,1.0
54.62,95.88,4.91,78.86,2,-0.1638,0.3524,599.1,19,0.0
51.99,102.46,2.73,33.42,3,0.2185,0.6183,411.55,4,1.0
44.0,88.66,1.55,72.59,1,-1.279,0.2275,530.31,23,
50.7,86.89,0.35,22.77,3,0.6957,0.3491,515.89,47,1.0
46.15,103.15,0.26,79.81,3,-0.4685,0.1127,476.47,11,1.0
51.14,95.39,0.21,54.22,2,-0.7149,0.2691,504.6,13,1.0
56.62,134.49,11.58,39.72,2,0.1243,0.6579,427.49,30,1.0
65.86,115.97,0.7,72.02,3,0.0547,0.2438,510.31,41,1.0
37.62,110.9,1.75,61.45,3,-0.1056,0.5577,511.83,13,0.0
71.33,96.45,21.31,53.24,3,-2.2008,0.2337,667.71,48,1.0
30.48,59.48,13.12,21.1,4,1.4191,0.5374,537.67,7,1.0
48.48,83.85,0.22,84.95,1,0.5429,0.2873,476.98,45,
55.88,87.05,4.01,43.19,3,0.2421,0.3244,701.31,41,1.0
52.81,94.5,5.02,44.55,0,-1.5003,0.6237,531.23,44,0.0
43.77,99.33,0.28,20.12,1,1.2298,0.2136,474.65,49,1.0
47.92,113.12,6.51,93.14,1,-0.6375,0.5447,489.74,47,1.0
45.07,105.46,22.06,55.46,1,-0.5347,0.6461,449.39,25,1.0
44.11,123.18,2.81,46.28,1,-0.2997,0.1564,389.92,17,
58.5,93.76,2.98,97.74,5,-0.2298,0.1591,505.53,46,0.0
53.57,105.14,5.38,36.6,2,0.454,0.2246,497.93,33,1.0
43.07,106.88,6.67,3.17,2,-1.4118,0.5129,431.74,34,1.0
59.0,104.91,7.8,22.94,5,0.6769,0.1691,540.74,36,
53.07,125.64,0.4,74.65,3,-0.0554,0.2487,562.49,22,
58.13,116.08,8.06,15.62,2,-1.0136,0.2403,668.56,20,1.0
56.3,73.61,9.98,15.59,5,0.9282,0.202,485.1,26,1.0
41.71,97.71,0.23,45.57,3,-0.9931,0.328,423.73,38,1.0
44.4,99.72,0.2,45.28,2,-0.5734,0.1761,609.66,10,0.0
57.47,143.03,4.0,45.99,6,-0.5362,0.0156,413.52,3,0.0
56.1,93.4,3.43,21.94,1,0.1229,0.3214,588.06,23,
49.79,80.35,19.58,16.85,3,-1.296,0.171,442.7,25,0.0
51.17,108.77,1.74,76.9,2,-0.3958,0.2529,514.41,17,0.0
62.78,109.94,4.46,60.39,3,1.3979,0.6092,571.97,12,0.0
44.08,98.52,3.53,32.12,4,0.854,0.2154,446.63,29,0.0
55.47,95.59,3.84,19.71,6,0.052,0.1578,567.93,18,0.0
47.98,118.98,5.39,87.76,3,1.3383,0.4886,605.97,0,1.0
47.82,82.93,3.86,13.65,1,-0.1295,0.3624,540.79,18,1.0
60.99,93.18,0.03,58.39,4,0.087,0.1108,499.56,3,1.0
58.25,89.56,9.28,61.02,1,-1.1577,0.1247,500.18,11,0.0
58.14,121.88,1.12,85.69,2,0.8473,0.3533,509.56,33,1.0
63.05,105.71,1.31,5.68,6,-0.021,0.2271,476.78,9,1.0
50.21,78.7,5.22,30.77,5,-0.2206,0.1793,528.04,5,1.0
56.82,80.71,3.25,96.61,1,1.8988,0.4075,504.36,33,1.0
46.9,137.47,4.27,56.89,5,-0.4359,0.3284,517.36,2,0.0
53.24,121.66,3.44,41.77,3,-2.2272,0.3656,645.35,20,1.0
48.7,116.83,2.71,31.68,4,0.7875,0.4803,414.03,10,
50.97,100.24,3.3,14.92,2,-1.9319,0.1442,621.2,48,0.0
55.95,130.17,0.76,18.71,5,-0.2187,0.2994,624.5,38,1.0
41.82,77.93,17.42,77.93,3,-1.9129,0.4929,543.94,9,0.0
70.92,115.06,4.28,24.43,4,-0.3014,0.4504,591.2,17,0.0
39.94,91.13,1.69,21.99,4,0.2152,0.2197,495.71,44,0.0
37.86,95.02,6.24,31.91,1,-0.513,0.3849,536.64,26,0.0
61.58,114.52,10.61,75.63,7,-0.344,0.3293,671.4,15,0.0
57.92,97.13,1.76,42.03,1,-1.9471,0.4876,405.98,6,1.0
56.24,91.31,1.96,2.84,2,0.3499,0.3008,571.03,20,1.0
56.28,90.1,2.89,51.3,6,2.1554,0.2045,571.86,14,1.0
49.88,60.27,1.22,27.81,4,1.3445,0.1839,499.77,21,1.0
41.03,115.26,8.3,45.82,2,-0.2138,0.3216,522.49,21,0.0
50.76,79.87,4.39,88.33,1,-2.2038,0.153,515.16,28,1.0
43.23,137.17,0.29,19.68,3,0.4392,0.2138,582.05,19,0.0
59.75,94.25,28.58,33.86,3,-0.2306,0.2677,570.14,15,0.0
48.53,126.19,4.28,94.52,4,-1.3055,0.1299,499.44,41,1.0
41.75,63.82,11.03,77.33,5,-0.1293,0.1214,552.15,44,1.0
46.79,114.63,3.48,27.43,3,-0.8704,0.2315,433.97,26,1.0
54.13,119.77,4.37,10.63,2,-0.8577,0.1745,364.5,21,1.0
44.36,126.07,3.03,93.39,1,0.3297,0.286,427.34,49,1.0
41.78,69.44,2.75,14.54,1,0.1367,0.5557,492.46,46,1.0
52.44,85.95,1.23,36.47,3,0.1549,0.1521,482.39,37,1.0
52.45,111.53,16.37,33.18,3,0.8431,0.1968,510.24,22,0.0
44.93,102.97,1.0,11.6,3,1.034,0.5017,711.98,11,0.0
45.29,105.87,3.74,10.08,2,-1.6381,0.2722,507.63,8,0.0
52.32,92.79,0.46,28.24,4,-0.3688,0.5069,494.16,1,0.0
35.52,131.02,25.09,36.82,3,-0.6421,0.2022,504.09,36,
35.93,152.17,4.06,96.89,5,1.62,0.3717,483.57,23,0.0
42.82,102.08,8.43,53.64,1,1.1167,0.2897,490.1,1,0.0
47.87,109.07,4.14,90.91,2,1.6206,0.0879,409.42,46,
53.11,101.12,8.17,12.85,3,0.1533,0.5115,421.43,43,0.0
64.75,125.68,3.82,23.85,5,-0.462,0.2794,496.4,21,0.0
58.58,116.58,2.94,16.28,3,0.3743,0.2645,687.8,37,1.0
48.4,78.67,3.04,37.51,5,0.2168,0.3726,334.29,32,0.0
49.81,87.75,0.01,91.75,1,-0.2498,0.5016,624.6,14,1.0
39.97,79.81,2.32,29.4,3,-0.9419,0.17,398.59,27,0.0
49.81,153.9,15.18,59.56,2,0.4663,0.188,544.31,13,0.0
47.11,112.71,5.63,91.56,2,2.0633,0.577,569.39,24,0.0
53.23,88.09,12.59,50.27,4,-1.8854,0.4247,286.46,7,1.0
41.73,86.49,1.12,52.77,2,-0.1246,0.1598,489.35,47,
55.19,116.1,3.38,55.25,4,0.9001,0.3234,440.75,22,0.0
65.33,118.1,0.18,28.03,1,1.0882,0.0836,327.09,19,
